,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
10,12.5%,"Drama, Greece",750 ml,White, Greece,9/1/2019,"Pineapple, grapefruit and floral aromas lead into juicy and mouthwatering flavors of tropical fruit on the palate. Brisk acidity and a citrus finish add to its elegant character.",Cavalieri,"Fantis Imports, Inc",Nico Lazaridi 2016 Cavalieri White (Drama),N/A,Drama,91,,Susan Kostrzewa,@suskostrzewa,,Not rated yet [Add Your Review],White Blend,2016,Nico Lazaridi
11,13.4%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,White, US,9/1/2019,"This blend offers notes of lees, fig, pineapple, flower, Mandarin orange and spice. Broad, textured-feeling flavors follow. Fig notes linger on the finish. Don't open until after 2022, and it has a future well beyond that.",66% Sémillon 18% Sauvignon 16% Muscadelle,,Buty 2017 66% Sémillon 18% Sauvignon 16% Muscadelle White (Columbia Valley (WA)),$25, Washington,91, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2017,Buty
12,14%,"Alto Adige, Northeastern Italy, Italy",750 ml,White, Italy,9/1/2019,"Made from a blend of Pinot Bianco, Pinot Grigio, Chardonnay, Kerner, Sauvignon and Müller Thurgau, this rounded, structured white offers aromas of white and yellow stone fruit, citrus and crushed stone. The full-bodied palate shows elegance and focus, delivering ripe apricot, creamy yellow apple and juicy grapefruit alongside crushed herbs and graphite.",Amos,North Berkeley Imports,Cantina Produttori Cortaccia 2016 Amos White (Alto Adige),$37, Northeastern Italy,91,Alto Adige,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],White Blend,2016,Cantina Produttori Cortaccia
13,12.5%,"California, California Other, California, US",375 ml,White, US,9/1/2019,"This is a steely, floral canned blend of Chenin Blanc and Chardonnay, the grapes from both Clarksburg and the Napa Valley. It refreshes and shows varietal complexity within a refreshingly bright, well-put-together package of green apple and grapefruit.",Blanc,,Brick & Mortar 2018 Blanc White (California),$8, California,90, California Other,Virginie Boone,@vboone,California,Not rated yet [Add Your Review],White Blend,2018,Brick & Mortar
14,12.5%,"Bordeaux Blanc, Bordeaux, France",750 ml,White, France,9/1/2019,"A bright and fruity wine, this has a ripe character, with hints of yellow fruits as well as warm acidity. An attractive tangy character gives the wine lift. Drink now.",,VOS Selections,Château Haut-Rian 2018  Bordeaux Blanc,$15, Bordeaux,90,Bordeaux Blanc,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,Château Haut-Rian
15,13%,"Entre-Deux-Mers, Bordeaux, France",750 ml,White, France,9/1/2019,"This is a balanced, fruity and fresh wine. All the elements are in place to give it a crisp character with plenty of bright white fruits. Drink this wine from Vignobles Ducourt now.",,La Ville Imports,Château La Rose du Pin 2018  Entre-Deux-Mers,$12, Bordeaux,90,Entre-Deux-Mers,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,Château La Rose du Pin
16,12.5%,"Thermenregion, Austria",750 ml,White, Austria,9/1/2019,"Elderflower headiness on the nose suggests a good portion of aromatic varieties in this vivid, fresh and summery field blend. The palate is slender and carries its elderflower aromas all the way to the dry finish.",Querfeldein Gemischter Satz,Vignaioli Selection,Gebeshuber 2018 Querfeldein Gemischter Satz White (Thermenregion),$20,Thermenregion,90,,Anne Krebiehl MW,@AnneInVino,,Not rated yet [Add Your Review],"Austrian white blend, White Blend",2018,Gebeshuber
17,12%,"Crete, Greece",750 ml,White, Greece,9/1/2019,Opulent kiwi and passionfruit aromas roll into mouthwatering flavors of citrus and honey in this intriguing pour. The wine offers ripe fruit with a zesty and savory backbone ending on a chalky finish.,,USA Wine West,Lyrarakis 2017 White (Crete),$15,Crete,90,,Susan Kostrzewa,@suskostrzewa,,Not rated yet [Add Your Review],White Blend,2017,Lyrarakis
18,14.5%,"Bordeaux Blanc, Bordeaux, France",750 ml,White, France,9/1/2019,"Ripe apricot aromas set the warm character of this organic-vineyard wine. Spicy with a tangy texture and some herbal flavors, the wine is full in the mouth and ready to age. The estate belongs to members of the family that owns Hermès. Drink from late 2019.",Blanc de Fourcas Hosten,Wineberry America LLC,Château Fourcas Hosten 2018 Blanc de Fourcas Hosten  (Bordeaux Blanc),$15, Bordeaux,90,Bordeaux Blanc,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,Château Fourcas Hosten
19,12.5%,"Entre-Deux-Mers, Bordeaux, France",750 ml,White, France,9/1/2019,"From the Dubourg family's home vineyard for more than 200 years, this blend of Sauvignon Blanc, Sémillon and Muscadelle is concentrated and densely textured. With a spicy bite as well as young green fruits, it needs time. Drink this ripe, full-bodied wine from 2020.",,MS Walker,Château Nicot 2018  Entre-Deux-Mers,$12, Bordeaux,90,Entre-Deux-Mers,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,Château Nicot
20,13%,"Entre-Deux-Mers, Bordeaux, France",750 ml,White, France,9/1/2019,"This ripe, concentrated wine has a strong texture with a tangy, perfumed character. The bite of spice is a strong element in a wine that needs some aging. Drink from 2020.",,Sussex Wine Merchants,Château Turcaud 2018  Entre-Deux-Mers,$17, Bordeaux,90,Entre-Deux-Mers,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,Château Turcaud
21,14.1%,"Columbia Gorge (WA), Washington Other, Washington, US",750 ml,White, US,9/1/2019,"Pinot Gris makes up 65% of this wine, with the rest Gewürztraminer. The aromas announce themselves, with notes of ginger, mineral, white flowers, lychee and a whiff of smoke. Textured-feeling fruit flavors and light mesquite accents follow, with a warm finish. It captures the vintage exquisitely.",ALBA,,Cor Cellars 2017 ALBA Pinot Gris-Gewürztraminer (Columbia Gorge (WA)),$20, Washington,90, Washington Other,Sean P. Sullivan,@wawinereport,Columbia Gorge (WA),Not rated yet [Add Your Review],"Pinot Gris-Gewürztraminer, White Blend",2017,Cor Cellars
22,12%,"Niederösterreich, Austria",750 ml,White, Austria,9/1/2019,"What a gorgeous nose of creamy summer blossom. This is utterly appetizing in a light-footed, gentle way, suggesting all the ease of summer. Lightness in body and subtle aromatics are the chief virtues here on this quintessential summer wine. The finish is dry and fresh.",Gemischter Satz,Vignaioli Selection,Kohl 2018 Gemischter Satz White (Niederösterreich),$18,Niederösterreich,90,,Anne Krebiehl MW,@AnneInVino,,Not rated yet [Add Your Review],"Austrian white blend, White Blend",2018,Kohl
23,11.5%,"Niederösterreich, Austria",750 ml,White, Austria,9/1/2019,"A subtle nose gives only glimpses of ripe apple. The palate tells us much more. It speaks of tart apple freshness, lemony slenderness and a lovely, dry, refreshing finish. Lemon brightness echoes long.",Gemischter Satz,Carlo Huber Selections,Martinshof 2018 Gemischter Satz White (Niederösterreich),N/A,Niederösterreich,90,,Anne Krebiehl MW,@AnneInVino,,Not rated yet [Add Your Review],"Austrian white blend, White Blend",2018,Martinshof
24,13%,"Entre-Deux-Mers, Bordeaux, France",750 ml,White, France,9/1/2019,This well-balanced wine with ripe citrus notes is immediately attractive. It offers tropical-fruit flavors plus a lemon-zest character that dominates. Drink now.,Domaine du Bourdieu Cuvée Sainte Anne,Chartrand Imports,Vignoble Boudon 2018 Domaine du Bourdieu Cuvée Sainte Anne  (Entre-Deux-Mers),$16, Bordeaux,90,Entre-Deux-Mers,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,Vignoble Boudon
25,11.5%,"Napa Valley, Napa, California, US",750 ml,Red, US,9/1/2019,"Made from 52% Pinot Noir and 48% Chardonnay the way the producer would ordinarily make a 100% Pinot Noir, this has a dark Gamay-like color, with tight carbonic structure and freshness. Cranberry, red apple and cherry mingle lightly across the palate without intrusion from oak or much tannin. Enjoy cold.",Vin Rubis,,Brick & Mortar 2018 Vin Rubis Pinot-Chardonnay (Napa Valley),$28, California,90, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],"Pinot-Chardonnay, White Blend",2018,Brick & Mortar
26,12.5%,"Bordeaux Blanc, Bordeaux, France",750 ml,White, France,9/1/2019,"With a spicy nose that is followed through on the palate, this is a full-bodied, wood-aged wine. Nutmeg zing combines easily with the ripe yellow-fruit and lime flavors. Drink this still-developing wine from late 2019.",,CTS Distributing,Château Argadens 2018  Bordeaux Blanc,$15, Bordeaux,90,Bordeaux Blanc,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,Château Argadens
27,N/A,"Entre-Deux-Mers, Bordeaux, France",750 ml,White, France,9/1/2019,"This tangy, zesty wine is concentrated, with ripe citrus and apple flavors. The spicy edge and richness have blended well to give a wine that is full and ready to drink.",,Profile Wine Imports,Château de l'Aubrade 2018  Entre-Deux-Mers,$12, Bordeaux,90,Entre-Deux-Mers,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,Château de l'Aubrade
28,13%,"Entre-Deux-Mers, Bordeaux, France",750 ml,White, France,9/1/2019,"Joël Duffau has produced a beautifully ripe wine in his final year of transferring the vineyard to certified organic. This 80/20 Sauvignon Blanc/Sémillon blend is rich but cut with freshness. Acidity also plays a role in this well-balanced wine, the apple and pineapple flavors right up front. Drink now.",,Elite Wines Import,Château les Arromans 2018  Entre-Deux-Mers,$14, Bordeaux,90,Entre-Deux-Mers,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,Château les Arromans
29,12.5%,"Drama, Greece",750 ml,White, Greece,9/1/2019,"Grapefruit and floral aromas are followed by flavors of mouthpuckering citrus zest, honey and tropical fruit. The wine has a linear quality but offers complexity of fruit mingled with the brisk acidity. Elegant and intriguing.",Techni Alipias,R&R Selections LLC,Wine Art Estate 2017 Techni Alipias White (Drama),N/A,Drama,90,,Susan Kostrzewa,@suskostrzewa,,Not rated yet [Add Your Review],White Blend,2017,Wine Art Estate
30,11.5%,"Napa Valley, Napa, California, US",750 ml,White, US,9/1/2019,"A light refreshing white wine, this is made by picking 52% Pinot Noir and 48% Chardonnay on the same day and then pressing and cofermenting them together. Structured and lightweight, it dazzles in tart high-toned acidity, adorned in flavors of fresh lemon, apple and melon with a flinty stony finish.",Vin Clair,,Brick & Mortar 2018 Vin Clair Pinot-Chardonnay (Napa Valley),$28, California,90, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],"Pinot-Chardonnay, White Blend",2018,Brick & Mortar
31,13.5%,"Bordeaux Blanc, Bordeaux, France",750 ml,White, France,9/1/2019,Ripe apricot flavors characterize this full-bodied and warm wine. Weight and concentration show happily against just enough fresh acidity. This wine from Jean Meynard and Christelle Gauthier is ready to drink.,,Kappy's Importing and Distributing Co,Château Bois Malot 2018  Bordeaux Blanc,$10, Bordeaux,90,Bordeaux Blanc,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,Château Bois Malot
32,12.5%,"Bordeaux Blanc, Bordeaux, France",750 ml,White, France,9/1/2019,Tangy lemon zest comes through strongly in this wine. Its acidity is reinforced by a mineral texture that adds complexity. This fifth-generation Fournier family wine has a full-bodied feel and is still young. Let it calm down a little and drink from late 2019.,,T. Edward Wines Ltd,Château de Bonhoste 2018  Bordeaux Blanc,$15, Bordeaux,90,Bordeaux Blanc,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,Château de Bonhoste
33,12.5%,"Entre-Deux-Mers, Bordeaux, France",750 ml,White, France,9/1/2019,"Stéphane Defraine's full-bodied, ripe wine presents bold white-stone-fruit flavors that contrast with the layers of acidity and mineral texture. This rich wine should age, so drink from 2020.",,Winebow,Château de Fontenille 2018  Entre-Deux-Mers,$14, Bordeaux,90,Entre-Deux-Mers,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,Château de Fontenille
34,13%,"Entre-deux-Mers Haut-Benauge, Bordeaux, France",750 ml,White, France,9/1/2019,"A lightly toasty wine with a touch of wood aging, this still retains a strong herbal element. It is maturing well, with fruitiness in equilibrium with the wood. Drink now.",Grande Cuvée,1_No Submitting Co,Château Vermont 2017 Grande Cuvée  (Entre-deux-Mers Haut-Benauge),$29, Bordeaux,90,Entre-deux-Mers Haut-Benauge,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2017,Château Vermont
35,13%,"Bordeaux Blanc, Bordeaux, France",750 ml,White, France,9/1/2019,"This is a rich wine, wood aged and spicy. Its concentration and ripe fruits are balanced by toastiness to give a wine that can age. Let the poised yellow fruits and acidity mature a few months more. Drink from late 2019.",,Luxco,De Luze 2018  Bordeaux Blanc,$15, Bordeaux,90,Bordeaux Blanc,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,De Luze
36,14%,"Alto Adige, Northeastern Italy, Italy",750 ml,White, Italy,9/1/2019,"Delicate aromas evoking hay, apricot, tomato vine and citrus float above the glass. On the linear palate, tangy acidity lifts green melon, citrus and a hint of white almond.",Gump Hof Praelusis,Summit Selections,Markus Prackwieser 2017 Gump Hof Praelusis White (Alto Adige),$26, Northeastern Italy,89,Alto Adige,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],White Blend,2017,Markus Prackwieser
37,12%,"Bordeaux Blanc, Bordeaux, France",750 ml,White, France,9/1/2019,"This full, fruity wine has benefited from the warmth of the vintage. Soft apricot and crisper pineapple flavors abound as does attractive spiciness. Drink this wine now.",Le Blanc De Monsieur Ducourt,La Ville Imports,VIgnobles Ducourt 2018 Le Blanc De Monsieur Ducourt  (Bordeaux Blanc),$15, Bordeaux,89,Bordeaux Blanc,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,VIgnobles Ducourt
38,13.5%,"Rioja, Northern Spain, Spain",750 ml,White, Spain,9/1/2019,"Overt oak and waxy apple aromas introduce this barrel-fermented Viura-led blend. A full-bodied palate is resiny due to this having spent 18 months in barrel. Creamy woody flavors of melon and banana finish with minimal kick and acidity, so drink through 2021.",Óscar Tobía Blanco Reserva,Tri-Vin Imports,Bodegas Tobía 2015 Óscar Tobía Blanco Reserva White (Rioja),$30, Northern Spain,89,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],White Blend,2015,Bodegas Tobía
39,12%,"Entre-Deux-Mers, Bordeaux, France",750 ml,White, France,9/1/2019,"With its intense fruitiness, this wine is ripe and full in the mouth. An attractive perfumed quality enhances the ripeness. Drink now.",Château Fontoy,New England Wine and Spirits Inc,Caves de Rauzan 2018 Château Fontoy  (Entre-Deux-Mers),$15, Bordeaux,89,Entre-Deux-Mers,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,Caves de Rauzan
40,12.5%,"Entre-deux-Mers Haut-Benauge, Bordeaux, France",750 ml,White, France,9/1/2019,"A herbal wine, this is full of crisp ripe pear and apple flavors with concentration and definition. The wine is still a little young and will be better from late 2019.",,Vintage '59 Imports,Château Haut-La-Péreyre 2018  Entre-deux-Mers Haut-Benauge,$17, Bordeaux,89,Entre-deux-Mers Haut-Benauge,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,Château Haut-La-Péreyre
41,12%,"Bordeaux Blanc, Bordeaux, France",750 ml,White, France,9/1/2019,"Crisply herbal, this wine is tightly textured while also having layers of ripe fruit. With the texture in place, the wine can support the lemon and green-plum fruitiness. These elements are coming together and the wine will be better from late 2019.",,Eagle Estates Imports,Château la France 2018  Bordeaux Blanc,$12, Bordeaux,89,Bordeaux Blanc,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,Château la France
42,12%,"Steiermark, Austria",750 ml,White, Austria,9/1/2019,"Subtle freshness that combines green apple, tart stone fruit and citrus on the nose promises freshness. The light and slender palate obliges but adds lovely Mirabelle plum to the citrus package. Slight spritz accentuates the inherent lightness and freshness.",Gemischter Satz,"Frederick Wildman & Sons, Ltd",Neumeister 2018 Gemischter Satz White (Steiermark),$17,Steiermark,89,,Anne Krebiehl MW,@AnneInVino,,Not rated yet [Add Your Review],"Austrian white blend, White Blend",2018,Neumeister
43,13.5%,"Entre-Deux-Mers, Bordeaux, France",750 ml,White, France,9/1/2019,This Claude Barthe wine is all about fruit and spice. The combination of the strongly mineral texture and the green and citrus fruit flavors gives a complex wine that should age. Drink from late 2019.,,Château Fondarzac,Château Fondarzac 2018  Entre-Deux-Mers,$16, Bordeaux,89,Entre-Deux-Mers,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,Château Fondarzac
44,13.5%,"Bordeaux Blanc, Bordeaux, France",750 ml,White, France,9/1/2019,"Wood aging balances the ripe flavors of this wine, giving richness, plenty of spice and yellow-fruit flavors at the end. Drink now.",C'Est La Vie,Misa Imports,Famille Rochet 2018 C'Est La Vie  (Bordeaux Blanc),$15, Bordeaux,89,Bordeaux Blanc,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,Famille Rochet
45,13%,"Entre-Deux-Mers, Bordeaux, France",750 ml,White, France,9/1/2019,"Ripe and concentrated, this wine presents a full structure of herbal character and tangy acidity. It is packed with citrus and green plums. Drink now.",Rives,DHI Selections,Château Roquefort 2018 Rives  (Entre-Deux-Mers),$15, Bordeaux,89,Entre-Deux-Mers,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,Château Roquefort
46,13%,"Entre-Deux-Mers, Bordeaux, France",750 ml,White, France,9/1/2019,This ripe wine is full of apple and pear flavors. Its crisper side offers a more lemon and tangy citrus character. These two elements are coming together in a balanced wine. Drink from late 2019.,,The Wine List Inc,Château Vignol 2018  Entre-Deux-Mers,$15, Bordeaux,89,Entre-Deux-Mers,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,Château Vignol
47,13%,"Bordeaux Blanc, Bordeaux, France",750 ml,White, France,9/1/2019,"This wine has spice, ripe fruits and a warm character. Wood aging has filled it out, adding toast and clove flavors to the ripe white fruits. Drink this full-bodied wine now.",Ducourt Réserve de Famille,Baystate Wine & Spirits,VIgnobles Ducourt 2018 Ducourt Réserve de Famille  (Bordeaux Blanc),$15, Bordeaux,89,Bordeaux Blanc,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,VIgnobles Ducourt
48,13%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,White, US,9/1/2019,"Vibrant aromas of lime zest, melon and freshly cut kiwi lead to plentiful, broad-feeling tropical fruit flavors. Pineapple notes linger on the finish. It gets a bit weighed down at times but still delivers plenty of enjoyment.",SBS,,Cadaretta 2018 SBS Sauvignon Blanc-Semillon (Columbia Valley (WA)),$23, Washington,88, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],"Sauvignon Blanc-Semillon, White Blend",2018,Cadaretta
49,13%,"Bordeaux Blanc, Bordeaux, France",750 ml,White, France,9/1/2019,"Crisp and clean, this wine is all about fruitiness. Its lemon and green-plum flavors are already delicious and refreshing, given a lift by the wine's tangy aftertaste. Drink now.",,Vinadeis Americas USA,Château d'Haurets 2018  Bordeaux Blanc,$12, Bordeaux,88,Bordeaux Blanc,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,Château d'Haurets
50,13%,"Bordeaux Blanc, Bordeaux, France",750 ml,White, France,9/1/2019,"Bright and with delicious fruit, this is an open, crisp wine. Its young fruitiness is ready to drink, with lively acidity and a fragrant aftertaste.",,Bordeaux Wine Locators,Château La Rose Saint Germain 2018  Bordeaux Blanc,$12, Bordeaux,88,Bordeaux Blanc,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,Château La Rose Saint Germain
51,13%,"Entre-Deux-Mers, Bordeaux, France",750 ml,White, France,9/1/2019,"This is a taut wine, filled with young, tangy textures and ripe white and yellow fruits. It needs to mature as it softens its intensity. Drink this Vignobles Baylet wine from 2020.",,Hand Picked Selections,Château Landereau 2018  Entre-Deux-Mers,$18, Bordeaux,88,Entre-Deux-Mers,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,Château Landereau
52,13.5%,"Drama, Greece",750 ml,White, Greece,9/1/2019,"The Thema Assyrtiko/Sauvignon Blanc blend offers a combination of brisk focus and opulent expression. The fragrant aromas are driven by pineapple and banana as well as lemon rind, and flavors of sea salt, tropical fruit and citrus follow. A go-to food wine that bridges seasons and flavors.",Thema,Craft + Estate–Winebow,Ktima Pavlidis 2017 Thema White (Drama),$22,Drama,88,,Susan Kostrzewa,@suskostrzewa,,Not rated yet [Add Your Review],"Sauvignon Blanc-Assyrtiko, White Blend",2017,Ktima Pavlidis
53,13.5%,"Frascati, Central Italy, Italy",750 ml,White, Italy,9/1/2019,"This blend of Malvasia and Bombino opens with aromas of white spring flower, citrus and tropical fruit. The bright palate offers pear, juicy pineapple and white peach alongside fresh acidity.",Saula Carta Nera,Vias Imports,Tenuta di Pietra Porzia 2018 Saula Carta Nera  (Frascati),$22, Central Italy,88,Frascati,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],White Blend,2018,Tenuta di Pietra Porzia
54,13%,"Frascati Superiore, Central Italy, Italy",750 ml,White, Italy,9/1/2019,"Aromas of lemon, tropical fruit and acacia flower emerge from the glass. The bright palate offers Bartlett pear, ginger and citrus alongside fresh acidity.",1960,Superior Wines,Casata Mergè 2017 1960  (Frascati Superiore),$40, Central Italy,88,Frascati Superiore,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],White Blend,2017,Casata Mergè
