,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
10,14.5%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,6/1/2019,"In this 100% varietal, cocoa, bittersweet chocolate, vanilla and herb aromas lead to plentiful, well-balanced cherry and vanilla flavors. There's a lot to like.",Vineyard Series Art den Hoed Vineyard Painted Hills,,Maryhill 2015 Vineyard Series Art den Hoed Vineyard Painted Hills Tempranillo (Columbia Valley (WA)),$42, Washington,88, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Tempranillo,2015,Maryhill
11,14.5%,"Ramona Valley, South Coast, California, US",750 ml,Red, US,6/1/2019,"Sour aromas of black plum, cola and grape seed are dominated by a damp coffee-grind scent on the nose of this bottling. The palate is a tad funky and gritty with black-fruit flavors.",,,Scaredy Cat Ranch 2015 Tempranillo (Ramona Valley),$35, California,85, South Coast,Matt Kettmann,@mattkettmann,Ramona Valley,Not rated yet [Add Your Review],Tempranillo,2015,Scaredy Cat Ranch
12,13.5%,"Amador County, Sierra Foothills, California, US",750 ml,Red, US,6/1/2019,This full-bodied oaky wine shows strong aromas and flavors of oak sawdust and cedar over rather tart and tight blackberry notes.,,,Renwood 2016 Tempranillo (Amador County),$28, California,84, Sierra Foothills,Jim Gordon,@gordone_cellars,Amador County,Not rated yet [Add Your Review],Tempranillo,2016,Renwood
13,13.3%,"Umpqua Valley, Southern Oregon, Oregon, US",750 ml,Red, US,6/1/2019,"This young Tempranillo is highly tannic, saturated in color and lacking fruit tones. A vanilla flavor is dominant on the palate, giving this an unbalanced nature.",,,Foon 2016 Tempranillo (Umpqua Valley),$34, Oregon,83, Southern Oregon,Paul Gregutt,@paulgwine ,Umpqua Valley,Not rated yet [Add Your Review],Tempranillo,2016,Foon
14,13.5%,"Umpqua Valley, Southern Oregon, Oregon, US",750 ml,Red, US,6/1/2019,"This wine is a thin and sharp in profile. The tannins are quite abrasive, and the fruit tones are soft and muted.",,,Foon 2013 Tempranillo (Umpqua Valley),$34, Oregon,82, Southern Oregon,Paul Gregutt,@paulgwine ,Umpqua Valley,Not rated yet [Add Your Review],Tempranillo,2013,Foon
15,14.5%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Silky smooth, highly integrated aromas of baked black fruits and fine cocoa are just the beginning of the road on this superb gran reserva with a funky label. Concentrated and fully charged on the palate, this deals rowdy but delicious plum and berry flavors backed by wood spice and cinnamon. A stout finish keeps up with the fruit. Drink or hold for years to come (through 2035).",Viña Diezmo GR Gran Reserva,W. Direct,Casa Primicia 2012 Viña Diezmo GR Gran Reserva  (Rioja),$44, Northern Spain,94,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Tempranillo Blend, Tempranillo",2012,Casa Primicia
16,14.5%,"Ribera del Duero, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Ripe, smooth blackberry and tobacco aromas are chocolaty and subtle. Full allotments of black fruits, tannins and acidity play well together, while this tastes of blackberry, black cherry and baking spice. To back it all up, a rock-solid finish with notes of lemony oak, vanilla and tobacco is on point. Drink through 2028.",Reserva,USA Wine West,12 Linajes 2014 Reserva  (Ribera del Duero),$35, Northern Spain,93,Ribera del Duero,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Tempranillo,2014,12 Linajes
17,14%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Heady aromas of malted milk ball, ripe berry fruits and tobacco are warm and welcoming. Hailing from a warm year, this feels full but playful, with tannins that are only mildly scratchy. Flavors of vanilla, tobacco, butter, herb and dried berry fruit are textbook for Rioja gran reserva, while this takes a while to fully unfold on the finish. Drink through 2035.",Gran Reserva Tradición H,"Hidalgo Imports, LLC",Hidalgo 2012 Gran Reserva Tradición H  (Rioja),$45, Northern Spain,93,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Tempranillo,2012,Hidalgo
18,14%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"A fine mix of dried red fruit, baking spice, tobacco and olive aromas ranks as classic Rioja. A dry, fairly full palate reflects the quality of the 2015 vintage, while flavors of spiced plum, cassis and tobacco avoid any tricks. A meaty, chewy palate confirms that this was made from excellent raw materials. Drink through 2023.",Reserva Tradición H,"Hidalgo Imports, LLC",Hidalgo 2015 Reserva Tradición H  (Rioja),$30, Northern Spain,92,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Tempranillo,2015,Hidalgo
19,14%,"Ribera del Duero, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Smoky oak tops a nose with root beer, chimney draft and heady berry aromas. A thick, creamy palate delivers the heft Ribera is known for, while this tastes of ripe blackberry, cassis, coconut, vanilla and mocha. A lush finish is packed to the brim, but while this is massively fruity and oaky, to call it elegant, sophisticated or refined would be stretching things.",Ángel,Grapes of Spain,Arrocal 2014 Ángel  (Ribera del Duero),$55, Northern Spain,92,Ribera del Duero,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Tinto Fino, Tempranillo",2014,Arrocal
20,14%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Lightly charred and smoky aromas sit on top of earthy berry fruit, all touched up by lemony oak and minerality. A wiry palate is pulsing with acidity, while this tastes of blackberry and boysenberry along with vanilla and cured beef. A secure and steady finish features just enough brightness to suggest further aging. Drink through 2029.",Julian Madrid Reserva,Cordelina Wine Company,Casa Primicia 2014 Julian Madrid Reserva  (Rioja),$38, Northern Spain,92,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Tempranillo,2014,Casa Primicia
21,13.5%,"Ribera del Duero, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Attractive aromas of sandalwood, blackberry pastry and root beer signal a ripe wine from a notoriously cold vintage. A firm but impressive structure supports leathery berry, spice and tobacco flavors backed by a wall of oak. A finish with controlled heat tastes spicy and feels eminently dry. Drink through 2028.",Reserva,"Bodegas Palacio, SA",Viña Mayor 2013 Reserva  (Ribera del Duero),$29, Northern Spain,92,Ribera del Duero,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Tempranillo,2013,Viña Mayor
22,14%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Ripe, malty aromas of chocolate and maple blend with cherry and cassis scents to form a red carpet kind of nose. Flush, deep and solid on the palate, this lively gran reserva goes for fruit over classic Rioja nuances; expect spiced berry, currant and plum flavors accented by tobacco and chocolate. A muscular finish is the close. Drink through 2032.",Gran Reserva,Cordelina Wine Company,Casa Primicia 2012 Gran Reserva  (Rioja),$38, Northern Spain,92,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Tempranillo Blend, Tempranillo",2012,Casa Primicia
23,14.5%,"Douro, Portugal",750 ml,Red, Portugal,5/1/2019,"From 60-year-old Tinta Roriz vines, this wine is full of dense, dark fruits with rich tannins and the potential for smooth berry flavors. The grape, a k a Tempranillo, shows its aptitude for fine, richly structured wines and brings out its aging ability. Drink from 2020.",Grande Reserva,Saraiva Enterprises,Quinta da Pacheca 2015 Grande Reserva Tinta Roriz (Douro),$30,Douro,92,,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Tinta Roriz, Tempranillo",2015,Quinta da Pacheca
24,14%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Aromas of dried cherry, cola, cedary oak and tobacco are what you want from a fine Rioja, and this has all of that and more. On the palate, this reserva is fresh and full, with subtlety cut by racy acidity. Spicy flavors of leathery berry fruits are savory and deep, while this tastes lightly herbal and spicy on a steady finish. Say yum and drink at any point through 2023.",Clasico Reserva,W. Direct,Bodegas Olarra 2015 Clasico Reserva  (Rioja),$36, Northern Spain,92,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Tempranillo Blend, Tempranillo",2015,Bodegas Olarra
25,14%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Aromas of cherry, berry, tomato sauce and vanilla are smoky and slightly tarry. A flush, full mouthfeel is lifted by core acidity, while flavors of blackened spice, tobacco, toast and cassis finish with classic Rioja notes of vanilla, mocha, toast and warmth. Drink this winner through 2024.",Reserva,W. Direct,Bodegas Ondarre 2015 Reserva  (Rioja),$32, Northern Spain,92,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Tempranillo Blend, Tempranillo",2015,Bodegas Ondarre
26,14%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Elegant aromas of forest floor, fine oak, tobacco and spice notes grace core black fruit scents. A powerfully restrained palate is a touch creamy with oak, while this offers deep plum and berry flavors backed by a roasted, meaty finish where spice character is prominent. Drink through 2028.",Viña Diezmo RV Reserva,W. Direct,Casa Primicia 2014 Viña Diezmo RV Reserva  (Rioja),$32, Northern Spain,92,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Tempranillo,2014,Casa Primicia
27,14%,"Ribera del Duero, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Robust aromas of dark toast, cool mint, cola, blackberry and chocolate are riper than what most 2013 RDDs show. A round, expansive palate gets drier as rough tannins take grip. Roasted, savory flavors are solid, while this simmers with oaky tobacco notes on a long finish. The more time this has in the bottle, the better. Drink through 2028.",Reserva,Monsieur Touton Selection Ltd,Protos 2013 Reserva  (Ribera del Duero),$35, Northern Spain,91,Ribera del Duero,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Tempranillo,2013,Protos
28,14%,"Ribera del Duero, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Aromas of ripe berries and smoke meld with a hint of Band-Aid on the nose. The palate of this reserva is narrow, condensed and fairly hard. Typical regional flavors of mixed black fruits are at full ripeness, while this is muscular and concentrated on a finish that hints at syrup. Drink through 2027.",Reserva,Cordelina Wine Company,Tionio 2014 Reserva  (Ribera del Duero),$35, Northern Spain,91,Ribera del Duero,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Tinto Fino, Tempranillo",2014,Tionio
29,14%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Woodsy oak and olive aromas frame more standard cherry and berry scents. In the mouth, this is rubbery and scratchy due to hard tannins. Black plum and boysenberry flavors suggest coffee, while the finish on this is toasty and darker than what came before. Drink through 2024.",Fincas de Landaluce Reserva,Palette of Wines,Bodegas Landaluce 2014 Fincas de Landaluce Reserva  (Rioja),$23, Northern Spain,91,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Tempranillo,2014,Bodegas Landaluce
30,13.5%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Familiar Rioja aromas of creamy oak, wood smoke, leather and earthy berry fruits are encouraging and lead to a solid palate with forgiving intensity. Blackberry, cassis and vanilla aromas are lasting on a finish that's reaching maturity. Drink through 2023.",Reserva,"Evaton, Inc",Montecillo 2012 Reserva  (Rioja),$18, Northern Spain,91,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Tempranillo,2012,Montecillo
31,13.5%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Earthy berry and plum aromas come with patented Rioja side notes of vanilla and tobacco, while this reserva from a warm but top-notch vintage feels dry and slightly choppy. Roasted, gamy plum and berry flavors show some buttery oak, peppery notes and a leafy accent in front of a meaty finish touched up by lemony hints. Best from 2020–2024.",Viña Real Reserva,Arano LLC,CVNE 2015 Viña Real Reserva  (Rioja),$35, Northern Spain,91,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Tempranillo,2015,CVNE
32,14.5%,"Ribera del Duero, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Despite the fact that 2014 was a problematic vintage in Ribera del Duero, this crianza is showing the right stuff. Earthy black fruit aromas push up against stewy, while this feels flush, with grabby tannins. Savory black plum and blackberry flavors are mildly oaky, while firm tannins frame finishing baked black fruit and oak spice flavors.",Crianza,Murphy Distributors,Val Sotillo 2014 Crianza  (Ribera del Duero),$29, Northern Spain,91,Ribera del Duero,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Tempranillo,2014,Val Sotillo
33,13.5%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Earthy, nutty berry aromas are leathery and struggle to suggest purity. A saucy palate shows firm tannins, while this tastes of tobacco, earthy plum and mixed spices. A long, savory finish with dried fruit flavors is classic for Rioja.",Clásico Crianza,Tri-Vin Imports,Bodegas Olarra 2015 Clásico Crianza  (Rioja),$30, Northern Spain,90,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Tempranillo Blend, Tempranillo",2015,Bodegas Olarra
34,13.5%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Mature berry, cola and coffee aromas announce a gran reserva that just reaches that level of affordable excellence that everyone is looking for. The palate is a bit raw and bumpy, and the spiced plum flavors are familiar and touched up by buttery oak, but overall this delivers enough classic Rioja tobacco, vanilla and red fruit character to warrant spirited consumption.",Gran Reserva,Pernod Ricard,Campo Viejo 2012 Gran Reserva  (Rioja),$20, Northern Spain,90,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Tempranillo Blend, Tempranillo",2012,Campo Viejo
35,13.5%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Earthy plum and berry aromas are on the soft side, while this feels creamy and slightly raisiny, with grabby tannins. Oaky milk chocolate notes blend with herbal red plum and berry flavors in front of a grabby finish where a chocolate flavor rises to the fore.",Reserva,Vinamericas Selections,Siglo 2014 Reserva  (Rioja),$30, Northern Spain,90,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Tempranillo Blend, Tempranillo",2014,Siglo
36,14%,"Ribera del Duero, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Alluring spice and berry aromas along with notes of maple, winter-scented candle and vanilla make up a nice nose. While this is dry and scratchy in feel, on the plus side it's focused. Dark berry and cassis flavors yield to oak and wood prior to a toasty, spicy finish with chocolate notes.",Reserva,Freixenet USA,Valdubón 2014 Reserva  (Ribera del Duero),$24, Northern Spain,90,Ribera del Duero,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Tempranillo,2014,Valdubón
37,14.5%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"A solid nose common to Rioja smells like earthy berry fruits, dried leaves and olives. A punchy palate with screechy acidity offers flavors of plum and currant touched up by oaky vanilla. More of the same along with a touch of prune carries the finish. Drink through 2022.",Monte Real Reserva,Bodegas Riojanas,Bodegas Riojanas 2015 Monte Real Reserva  (Rioja),$24, Northern Spain,90,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Tempranillo,2015,Bodegas Riojanas
38,14%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Powerful but composed aromas of blackberry, tar and blackened spice are on the money. A grabby, pulling palate is pushed by hard, drying tannins, while this reserva from a warm vintage tastes of saucy berry fruit and oak prior to a finish that's plump and a touch flat. Drink through 2021.",Reserva Familia Chavarri,Assa Imports,Larchago 2012 Reserva Familia Chavarri  (Rioja),$23, Northern Spain,90,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Tempranillo,2012,Larchago
39,13.5%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Subtle berry and cassis aromas have earthy undertones. On the palate, this is wide and fleshy but not laser focused. Mild oak, chocolate and plum flavors finish with tomato, spice and light herbal notes.",Reserva,W. Direct,Bodegas Berceo 2014 Reserva  (Rioja),$38, Northern Spain,89,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Tempranillo Blend, Tempranillo",2014,Bodegas Berceo
40,14.5%,"Ribera del Duero, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Ripe berry aromas border on raisiny and stewed, while background notes of graphite and smoke are barrel driven. This crianza from a marginal vintage feels resiny and a bit syrupy. Savory black fruit flavors come with vanilla and chocolate shadings, while this remains chocolaty on a steady finish.",Lecco Crianza,"Hidalgo Imports, LLC",Resalte 2014 Lecco Crianza  (Ribera del Duero),$25, Northern Spain,89,Ribera del Duero,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Tempranillo,2014,Resalte
41,13.5%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Cherry, vanilla and oak spice aromas come with a note of citrus. This crianza feels fresh and lively but not that deep or complex. Flavors of spiced plum, currant and red apple skin show a mildly desiccated note of prune on the finish. This is a textbook simple Rioja to enjoy at any time in any setting.",Crianza,MundoVino–Winebow,Viña Bujanda 2015 Crianza  (Rioja),$15, Northern Spain,89,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Tempranillo,2015,Viña Bujanda
42,14%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Olive, raisin, cassis, clove and wood grain aromas constitute an interesting nose. A full palate with resiny oak and noticeable tannins sets up a flavor profile based mostly on clove, oak and berry fruit. While this remains oaky across the finish, there's enough dark fruit here to make this well worth a go. Drink through 2022.",Cosme Palacio Crianza,Bronco Wine Company,Bodegas Palacio 2014 Cosme Palacio Crianza  (Rioja),$20, Northern Spain,89,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Tempranillo,2014,Bodegas Palacio
43,14%,"Ribera del Duero, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Orderly berry and black currant aromas come with a hint of oak-based clove. A drawing palate is healthy albeit tight, while this Tempranillo tastes of earthy, roasted berry fruits and oak spice. Complexity pokes its head up on the finish via savory game, olive and meaty notes.",Roble,Tri-Vin Imports,Pagos de Valcerracin 2016 Roble  (Ribera del Duero),$20, Northern Spain,89,Ribera del Duero,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Tempranillo,2016,Pagos de Valcerracin
44,14%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Plum and berry aromas come with accents of cowhide and leather. A slightly grating and choppy palate settles with airing, while this crianza tastes of baked plum and raspberry. Dry tannins make for a grabby finish.",Crianza,Vineyard Brands,Marqués de Cáceres 2015 Crianza  (Rioja),N/A, Northern Spain,89,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Tempranillo,2015,Marqués de Cáceres
45,13.5%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Cola and blackberry aromas come with cheesy oak notes on a nose that seems awkward. An edgy palate with high acidity lacks the smoothness one might expect from a top gran reserva, while plum and raisin flavors are sappy prior to a raw and screechy-feeling palate.",Viña Albina Gran Reserva,Bodegas Riojanas,Bodegas Riojanas 2011 Viña Albina Gran Reserva  (Rioja),$45, Northern Spain,89,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Tempranillo Blend, Tempranillo",2011,Bodegas Riojanas
46,14%,"Vino de la Tierra de Castilla, Central Spain, Spain",750 ml,Red, Spain,5/1/2019,"A full black fruit nose punches above its weight class, with depth of fruit and smokiness normally found in more expensive wines. A full, fleshy palate is held together by firm tannins, while this Tempranillo-led blend tastes of dark fruits, herbs and spices prior to a steady, lightly toasted finish.",Codice,Jorge Ordóñez Selections,Dominio de Eguren 2016 Codice Red (Vino de la Tierra de Castilla),$10, Central Spain,89,Vino de la Tierra de Castilla,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Tempranillo Blend, Tempranillo",2016,Dominio de Eguren
47,13.6%,"Idaho, US",750 ml,Red, US,5/1/2019,"Aromas of vanilla bean, coconut and ripe red apple are followed by soft-feeling fruit and barrel flavors, with caramel notes on the finish. The oak plays a prominent part in the show.",Classic Fly Series,,Sawtooth 2016 Classic Fly Series Tempranillo,$30,Idaho,88,,Sean P. Sullivan,@wawinereport,,Not rated yet [Add Your Review],Tempranillo,2016,Sawtooth
48,13.5%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"A mixture of wet clay and baked plum aromas form the nose of this ready to drink crianza. Scratchy tannins and tight acidity give the palate verve, while this tastes mostly of saucy plum. A rubbing, tannic finish wraps it up.",Crianza,CIV/USA,Marqués de Carrión 2014 Crianza  (Rioja),$16, Northern Spain,88,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Tempranillo Blend, Tempranillo",2014,Marqués de Carrión
49,13.5%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"A demonstrably oaky nose comes with aromas of maple, hickory, wood grain and berry fruits. Following the nose, this feels grabby, with severe wood-based tannins. Buttery berry and oak-based flavors could use another year or two to settle, while this feels grating and warm on the finish.",Bikandi Crianza Ecological,"Hidalgo Imports, LLC",Viña Olabarri 2016 Bikandi Crianza Ecological  (Rioja),$22, Northern Spain,88,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Tempranillo,2016,Viña Olabarri
50,14%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"A slightly murky and earthy nose requires airing to show its best. In the mouth, this crianza is full, chunky and obtuse, with raw tannins. Herbal berry flavors are slightly minty, while this is short and tastes of plum and berry fruit on the finish.",Viña Diezmo CR Crianza,W. Direct,Casa Primicia 2016 Viña Diezmo CR Crianza  (Rioja),$21, Northern Spain,88,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Tempranillo Blend, Tempranillo",2016,Casa Primicia
51,14%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Wood spice and earthy aromas of forest floor and mint outweigh popping fruit on the nose of this fleshy, filled-out crianza. Spiced raspberry and dried plum aromas lead to a steady finish with crisp latent acidity that fosters length.",Crianza,Torgar Group,Bodegas Lozano 2014 Crianza  (Rioja),$22, Northern Spain,88,Rioja,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Tempranillo Blend, Tempranillo",2014,Bodegas Lozano
52,14%,"Ribera del Duero, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Gamy berry aromas are earthy and smell like black olives in brine. A firm palate becomes drier and more raw with airing, making for spicy plum and rubbery flavors. Fruit is hard to find on a tough finish where the coolness of 2013 shows through.",Reserva,Palette of Wines,Carramimbre 2013 Reserva  (Ribera del Duero),$29, Northern Spain,88,Ribera del Duero,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Tempranillo Blend, Tempranillo",2013,Carramimbre
